"Time","hull Moment Monitor: hull Moment Monitor (N-m)","tank Moment Monitor: tank Moment Monitor (N-m)","Total Moment Monitor: Total Moment Monitor (N-m)"
0.05,-1.1454871993951454E10,-3350172.9581541307,-1.1458222166909609E10
0.1,-2.410303787907661E9,2467262.293216884,-2.407836525614444E9
0.15000000000000002,7.257176128589243E8,1560676.999975709,7.272782898589E8
0.2,1.0032828232966152E9,-2496758.01325515,1.00078606528336E9
0.25,3.056403448081434E8,27399.973953387293,3.0566774478209674E8
0.35,-5.627727406438512E8,332572.41305897257,-5.624401682307922E8
0.39999999999999997,-4.003845947382945E8,-303912.5490541951,-4.006885072873487E8
0.44999999999999996,-2.8690845523226E8,-290790.7628514159,-2.871992459951114E8
0.49999999999999994,-3.1000636137612253E8,-51133.753824673826,-3.1005749512994725E8
0.5499999999999999,-3.4044343715114015E8,95233.35481155873,-3.4034820379632854E8
0.65,-4.14929165197098E8,92002.99314383819,-4.148371622039541E8
0.7000000000000001,-4.333740967956209E8,85246.03172378725,-4.3328885076389706E8
0.7500000000000001,-4.1799439304936624E8,99440.16855073173,-4.178949528808155E8
0.8000000000000002,-4.4743806014672506E8,107505.86272529201,-4.4733055428399974E8
0.8500000000000002,-4.437920786304178E8,128717.61125855101,-4.4366336101915926E8
0.9500000000000003,-4.7158381634059596E8,184097.05903584772,-4.713997192815601E8
1.0000000000000002,-5.018706993683701E8,212704.1105551654,-5.0165799525781494E8
1.0500000000000003,-4.900508576002984E8,256966.07007960044,-4.897938915302188E8
1.1000000000000003,-5.0905505037341416E8,271396.7919010422,-5.0878365358151317E8
1.2000000000000004,-5.208855242867711E8,290541.8801671598,-5.2059498240660393E8
1.2500000000000004,-5.0679736540238243E8,337171.4579699398,-5.064601939444125E8
1.3000000000000005,-5.2717681303951347E8,345744.6263833879,-5.268310684131301E8
1.3500000000000005,-5.178870400146584E8,371204.5852173786,-5.1751583542944103E8
1.4000000000000006,-5.370189921056542E8,395806.37326724274,-5.3662318573238707E8
1.5000000000000007,-5.317066296966665E8,415816.77525483025,-5.312908129214117E8
1.5500000000000007,-5.115355743234459E8,422541.26645336323,-5.1111303305699253E8
1.6000000000000008,-5.292764741820763E8,408793.90790663235,-5.288676802741696E8
1.6500000000000008,-5.070765387584216E8,440245.03299500543,-5.0663629372542655E8
1.7000000000000008,-5.1685205320077616E8,399419.8614629653,-5.1645263333931327E8
1.800000000000001,-5.048846044331772E8,315312.6436014029,-5.0456929178957576E8
1.850000000000001,-4.8071211905815613E8,314263.848900327,-4.803978552092558E8
1.900000000000001,-4.908054056636076E8,254323.16122027166,-4.9055108250238734E8
1.950000000000001,-4.603439458750794E8,221595.9918940943,-4.601223498831853E8
2.000000000000001,-4.719966945124925E8,112326.83542072163,-4.7188436767707175E8
