"Time","hull Moment Monitor: hull Moment Monitor (N-m)","tank Moment Monitor: tank Moment Monitor (N-m)","Total Moment Monitor: Total Moment Monitor (N-m)"
0.05,-1.1417580270687021E11,2.3782592828068457E9,-1.1179754342406337E11
0.1,2.549725374674412E9,4.194650946659832E9,6.744376321334244E9
0.15000000000000002,1.4397809723254496E10,4.1609462179641733E9,1.8558755941218666E10
0.2,5.023512313738563E9,3.7756138083295116E9,8.799126122068075E9
0.25,-6.998023171541729E8,3.497395949903743E9,2.79759363274957E9
0.35,-2.8810331968748703E9,3.577070698082816E9,6.960375012079449E8
0.39999999999999997,-2.290179486051903E9,3.6664010887490196E9,1.3762216026971178E9
0.44999999999999996,-2.2379201991269608E9,3.700989081717821E9,1.4630688825908613E9
0.49999999999999994,-2.6032128896391373E9,3.6819724414261904E9,1.078759551787053E9
0.5499999999999999,-2.8894228292335587E9,3.6470166937436886E9,7.575938645101309E8
0.65,-3.394000742684494E9,3.633948768451584E9,2.3994802576708984E8
0.7000000000000001,-3.5366704597788773E9,3.646333171804681E9,1.0966271202580357E8
0.7500000000000001,-3.660933417210762E9,3.6534363890663548E9,-7497028.144408226
0.8000000000000002,-3.817116895663986E9,3.655586132949109E9,-1.6153076271487617E8
0.8500000000000002,-3.950430072543083E9,3.6537311175894003E9,-2.9669895495368385E8
0.9500000000000003,-4.1708478239216995E9,3.6535318074688444E9,-5.1731601645285416E8
1.0000000000000002,-4.2650194094921036E9,3.6561591399282084E9,-6.088602695638952E8
1.0500000000000003,-4.326857868819855E9,3.65944709790685E9,-6.674107709130058E8
1.1000000000000003,-4.392796346496605E9,3.661975609870434E9,-7.308207366261711E8
1.2000000000000004,-4.490879070398338E9,3.6654145087782784E9,-8.2546456162006E8
1.2500000000000004,-4.541000069093155E9,3.667171003128994E9,-8.738290659641609E8
1.3000000000000005,-4.56863779372184E9,3.6693671994234676E9,-8.992705942983732E8
1.3500000000000005,-4.580295460424515E9,3.6713516728621464E9,-9.089437875623684E8
1.4000000000000006,-4.591949619948418E9,3.6744490675070314E9,-9.175005524413862E8
1.5000000000000007,-4.592182574770676E9,3.676747242091299E9,-9.154353326793766E8
1.5500000000000007,-4.574076455655838E9,3.677829232262767E9,-8.962472233930712E8
1.6000000000000008,-4.591417999942528E9,3.678860253913168E9,-9.125577460293598E8
1.6500000000000008,-4.556800133147209E9,3.6800151250244465E9,-8.767850081227636E8
1.7000000000000008,-4.5568939507317505E9,3.682359797666913E9,-8.745341530648375E8
1.800000000000001,-4.496477325476372E9,3.6830745431502495E9,-8.134027823261223E8
1.850000000000001,-4.466192971794472E9,3.682925457310505E9,-7.832675144839678E8
1.900000000000001,-4.451614523833717E9,3.682916102056485E9,-7.686984217772331E8
1.950000000000001,-4.41915056215033E9,3.68351452603475E9,-7.356360361155796E8
2.000000000000001,-4.382930715356827E9,3.683594704782298E9,-6.993360105745287E8
2.1000000000000005,-4.327146334744207E9,3.6815443416438065E9,-6.456019931004E8
2.1500000000000004,-4.2799802983474083E9,3.681327317288433E9,-5.986529810589762E8
2.2,-4.2297229640646133E9,3.6806811964657173E9,-5.49041767598896E8
2.25,-4.178339091653E9,3.6783632890236034E9,-4.9997580262939644E8
2.3499999999999996,-4.107086870473755E9,3.675045055368944E9,-4.320418151048107E8
2.3999999999999995,-4.0746379948491516E9,3.6731348346461544E9,-4.015031602029972E8
2.4499999999999993,-4.029995707124631E9,3.6711649195045834E9,-3.588307876200485E8
2.499999999999999,-3.989136806389402E9,3.668816424486473E9,-3.2032038190292835E8
2.549999999999999,-3.9470872660431437E9,3.666288983416174E9,-2.807982826269703E8
2.6499999999999986,-3.8597419234778137E9,3.6609205383534393E9,-1.988213851243744E8
2.6999999999999984,-3.8380268004437485E9,3.6577213963944035E9,-1.8030540404934597E8
2.7499999999999982,-3.790037723705696E9,3.6553389212744427E9,-1.3469880243125248E8
2.799999999999998,-3.7522132766764145E9,3.6524064699642763E9,-9.980680671213818E7
2.849999999999998,-3.7111304100424666E9,3.648903824687786E9,-6.222658535468006E7
2.9499999999999975,-3.6046384310270157E9,3.641345478555683E9,3.670704752866745E7
2.9999999999999973,-3.5582157453254776E9,3.635612335497898E9,7.73965901724205E7
3.049999999999997,-3.4743426022626343E9,3.6291953311726933E9,1.5485272891005898E8
3.099999999999997,-3.4488160406711807E9,3.6219063951753426E9,1.7309035450416088E8
3.149999999999997,-3.3454396464602585E9,3.6159824247617254E9,2.7054277830146694E8
3.2499999999999964,-3.2532351116917343E9,3.6041926646077576E9,3.509575529160242E8
3.2999999999999963,-3.2164485054039E9,3.598182746800273E9,3.817342413963728E8
3.349999999999996,-3.19967211392601E9,3.593166679626171E9,3.9349456570016E8
3.399999999999996,-3.162077299343651E9,3.590347647251608E9,4.282703479079571E8
3.4999999999999956,-3.127136556544113E9,3.5820240731756754E9,4.548875166315632E8
3.5499999999999954,-3.074399206457596E9,3.5798972679554186E9,5.054980614978237E8
3.599999999999995,-3.081656738378998E9,3.577689121205261E9,4.960323828262625E8
3.649999999999995,-3.0134660942365417E9,3.5749859096247854E9,5.615198153882437E8
3.699999999999995,-3.0594616775562363E9,3.570727890061846E9,5.1126621250560856E8
3.7999999999999945,-3.012942758451943E9,3.5648808605896626E9,5.519381021377201E8
3.8499999999999943,-2.9375201556372576E9,3.562407775099477E9,6.248876194622192E8
3.899999999999994,-2.98908439990211E9,3.559159440483843E9,5.700750405817327E8
3.949999999999994,-2.899275919804329E9,3.5579702364906826E9,6.586943166863537E8
3.999999999999994,-2.9549804263613434E9,3.5547841443011074E9,5.998037179397631E8
4.099999999999993,-2.9426277162347107E9,3.5490201979105444E9,6.063924816758337E8
4.149999999999993,-2.8239843063554764E9,3.548236594935812E9,7.242522885803347E8
4.199999999999993,-2.94285181808136E9,3.5457152419610424E9,6.028634238796825E8
4.249999999999993,-2.7985441795529556E9,3.546924959604512E9,7.483807800515575E8
4.299999999999993,-2.909841547199936E9,3.543589477469721E9,6.33747930269784E8
4.399999999999992,-2.8797353565019684E9,3.541608174176154E9,6.618728176741858E8
4.449999999999992,-2.770092801849388E9,3.5401805404629364E9,7.700877386135483E8
4.499999999999992,-2.8877130066084595E9,3.5368602148694277E9,6.491472082609682E8
4.549999999999992,-2.75398055397974E9,3.5379553163895445E9,7.839747624098043E8
4.6499999999999915,-2.746469632918564E9,3.535466080720402E9,7.889964478018379E8
4.699999999999991,-2.8548872052504272E9,3.533806195512108E9,6.789189902616806E8
4.749999999999991,-2.7422411716244087E9,3.5353972533795652E9,7.931560817551565E8
4.799999999999991,-2.832995176673313E9,3.534170576764267E9,7.011754000909538E8
4.849999999999991,-2.7584386086602554E9,3.5345198680152664E9,7.76081259355011E8
4.94999999999999,-2.750548290374878E9,3.539133035208541E9,7.88584744833663E8
4.99999999999999,-2.8709557957289658E9,3.538207554784951E9,6.672517590559855E8
5.04999999999999,-2.766852421891243E9,3.540057683898077E9,7.73205262006835E8
5.09999999999999,-2.9496957654594193E9,3.5422776870428305E9,5.925819215834112E8
5.14999999999999,-3.049798720908493E9,3.55884431473291E9,5.090455938244171E8
5.249999999999989,-3.1645150376882477E9,3.624369589227232E9,4.5985455153898525E8
5.299999999999989,-3.5196320993490143E9,3.6234976785131903E9,1.0386557916417599E8
5.349999999999989,-3.158363163271057E9,3.6205546505592937E9,4.621914872882366E8
5.399999999999989,-3.5250113441455994E9,3.608644699777382E9,8.363335563178253E7
5.449999999999989,-3.1264205109729767E9,3.6097206482272625E9,4.833001372542858E8
5.549999999999988,-3.1351100839999313E9,3.6105250596907387E9,4.7541497569080734E8
5.599999999999988,-3.3814880735805054E9,3.6051444068395596E9,2.2365633325905418E8
5.649999999999988,-3.196824232681175E9,3.601437085465415E9,4.0461285278423977E8
5.699999999999988,-3.3601698272166595E9,3.603736192580166E9,2.4356636536350727E8
5.799999999999987,-3.281873784411495E9,3.603668280232567E9,3.217944958210716E8
5.849999999999987,-3.266302182051468E9,3.6011373878970013E9,3.348352058455334E8
5.899999999999987,-3.299157544598427E9,3.605282671968628E9,3.061251273702011E8
5.949999999999987,-3.279974513816429E9,3.60918757079766E9,3.292130569812298E8
5.999999999999987,-3.348704992781288E9,3.611798811181566E9,2.630938184002781E8
6.099999999999986,-3.3766724478687363E9,3.6182127242428875E9,2.4154027637415123E8
6.149999999999986,-3.4239155764574966E9,3.6223013230532885E9,1.9838574659579277E8
6.199999999999986,-3.3918085380288696E9,3.6283428866967373E9,2.3653434866786766E8
6.249999999999986,-3.491515471456772E9,3.6303774407734957E9,1.3886196931672382E8
6.299999999999986,-3.451754164006012E9,3.6354386273867607E9,1.8368446338074875E8
6.399999999999985,-3.5541340670437546E9,3.6551650128456173E9,1.0103094580186272E8
6.449999999999985,-3.629198003889038E9,3.6532873007768116E9,2.4089296887773514E7
6.499999999999985,-3.586912197945114E9,3.6550425762028236E9,6.81303782577095E7
6.549999999999985,-3.704180149922081E9,3.652543189936693E9,-5.16369599853878E7
