Time,hull Moment Monitor: hull Moment Monitor (N-m),tank Moment Monitor: tank Moment Monitor (N-m),Total Moment Monitor: Total Moment Monitor (N-m)
0.05,-2.02E+10,2.21E+09,-1.80E+10
0.1,-2.20E+09,4.24E+09,2.04E+09
0.15,2.19E+09,4.28E+09,6.47E+09
0.2,9.77E+08,3.77E+09,4.75E+09
0.25,-8.38E+08,3.50E+09,2.66E+09
0.35,-1.66E+09,3.58E+09,1.92E+09
0.4,-1.34E+09,3.66E+09,2.33E+09
0.45,-1.21E+09,3.69E+09,2.47E+09
0.5,-1.13E+09,3.67E+09,2.54E+09
0.55,-1.19E+09,3.65E+09,2.46E+09
0.65,-1.31E+09,3.62E+09,2.31E+09
0.7,-1.26E+09,3.63E+09,2.37E+09
0.75,-1.22E+09,3.63E+09,2.41E+09
0.8,-1.18E+09,3.63E+09,2.45E+09
0.85,-1.22E+09,3.63E+09,2.41E+09
0.95,-1.23E+09,3.62E+09,2.38E+09
1,-1.20E+09,3.61E+09,2.42E+09
1.05,-1.22E+09,3.61E+09,2.39E+09
1.1,-1.17E+09,3.61E+09,2.43E+09
1.2,-1.16E+09,3.60E+09,2.44E+09
1.25,-1.21E+09,3.59E+09,2.38E+09
1.3,-1.21E+09,3.59E+09,2.38E+09
1.35,-1.25E+09,3.59E+09,2.34E+09
1.4,-1.23E+09,3.58E+09,2.36E+09
1.5,-1.24E+09,3.58E+09,2.33E+09
1.55,-1.30E+09,3.57E+09,2.27E+09
1.6,-1.30E+09,3.57E+09,2.26E+09
1.65,-1.33E+09,3.56E+09,2.23E+09
1.7,-1.38E+09,3.56E+09,2.18E+09
1.8,-1.43E+09,3.55E+09,2.12E+09
1.85,-1.49E+09,3.55E+09,2.06E+09
1.9,-1.60E+09,3.55E+09,1.95E+09
1.95,-1.67E+09,3.55E+09,1.89E+09
2,-1.79E+09,3.55E+09,1.76E+09
2.1,-1.97E+09,3.55E+09,1.58E+09
2.15,-1.96E+09,3.55E+09,1.59E+09
2.2,-2.06E+09,3.55E+09,1.50E+09
2.25,-2.03E+09,3.55E+09,1.52E+09
2.35,-2.11E+09,3.55E+09,1.44E+09
2.4,-2.24E+09,3.55E+09,1.31E+09
2.45,-2.16E+09,3.55E+09,1.39E+09
